Comment_Text_Arabic,Problem_Source
"الكاميرا نتاع الهاتف تصويرتها ضبابية، موش كيف ما قالو. 📱",المنتج
"عملية الإرجاع معقدة برشا و تاخو وقت طويل.",الخدمة
"البلوتوث متاع السماعات هذي ديما يتقص.",المنتج
"تعامل الموظفين في خدمة العملاء جاف جداً.",الخدمة
"الشاحن اللي جاء مع الهاتف أصلي فسد فيسع.",المنتج
"يغلطوا في العنوان و بعد يقولك أنت الغالط!",الخدمة
"المكنسة الكهربائية ما تجبدش بالباهي، ضعيفة ياسر.",المنتج
"الموقع يقول المنتج متوفر، بعد ما تطلب يقولك مافماش! تضييع وقت.",الخدمة
"البلايستيشن هذا يعمل برشا حس و يسخن بسرعة.",المنتج
"معلومات المنتج على الموقع غالطة، شريت على أساس حاجة و طلعت أخرى.",الخدمة
"البطارية الخارجية شاحن متنقل ما تشحنّش الهاتف كامل.",المنتج
"ما يجاوبوش على رسائل البريد الالكتروني جملة!",الخدمة
"الطنجرة اللي شريتها لصقتلي الماكلة من أول استعمال.",المنتج
"قالولي التركيب مجاني، بعد جاو طلبو فلوس!",الخدمة
"الحديدة متاع الحوايج تخرج في الماء و تبقع القماش.",المنتج
"التطبيق نتاعهم ديما مقفول و فيه مشاكل. 📱",الخدمة
"القهوة سريعة الذوبان طعمها خايب ياسر، موش قهوة بالكل. ☕",المنتج
"كيف تحب تبدل حاجة، يعملولك فيلم هندي!",الخدمة
"م هذا ما يخدمش كل المنافذ نتاعو.",المنتج
"انتظار طويل برشا في المحل باش واحد يتلها بيك.",الخدمة
"الفأرة اللاسلكية ديما تفقد الاتصال.",المنتج
"قالوا تخفيضات، و الأسوام هي بيدها! تحيل!",الخدمة
"الشامبو هذا نشفلي شعري و عملي قشرة.",المنتج
"سياسة الإرجاع عندهم ظالمة، يحبو يغصبوك على المنتج.",الخدمة
"السلك نتاع الشحن قصير برشا و موش عملي.",المنتج
"يبيعولك الحلم و بعد ما تلقى شي، خدمة صفر.",الخدمة
"المروحة تعمل في صوت مزعج كيف النحلة! 🐝",المنتج
"ما عندهمش حتى احترام للمواعيد.",الخدمة
"المنتج وصلني مفتوح و مستعمل! فضيحة!",المنتج
"حاطين تصويرة على الموقع و المنتج اللي وصلني مختلف تماما.",الخدمة
"الألوان نتاع الشاشة في التلفزة هاذي باهتة برشا.",المنتج
"ما يوفروش قطع غيار للمنتجات متاعهم.",الخدمة
"اللمبة الذكية ما تتصلش بالواي فاي بسهولة. 💡",المنتج
"خدمة التوصيل للمنازل كارثية، يوصلولك السلعة ناقصة أخلاق.",الخدمة
"المنتج فيه عيب مصنعي واضح و ما حبوش يبدلوهلي.",المنتج
"يتجاهلوا الرسايل على الفيسبوك و الانستغرام.",الخدمة
"الجهاز يسخن برشا لدرجة ما تنجمش تشدو.",المنتج
"الموقع نتاعهم معقد و موش ساهل للاستعمال.",الخدمة
"جودة الصورة في كاميرا المراقبة ضعيفة جدا في الليل.",المنتج
"اللي يركب في المكيف ما يعرفش خدمتو، خلّاه يقطر. 🛠️",الخدمة
"المكمل الغذائي هذا ما عطى حتى نتيجة، كلام فارغ.",المنتج
"بعد ما تشري، ماعاد حد يسمع بيك.",الخدمة
"الجهاز يستهلك برشا كهرباء موش كيف ما قالو.",المنتج
"يوعدوك بحاجات و بعد ما يوفروش بيها.",الخدمة
"القماش متاع الستائر شفاف برشا، ما يحجبش الضوء.",المنتج
"الفاتورة جاتني زايدة على السوم اللي اتفقنا عليه.",الخدمة
"العطر متاع السيارة فض من أول نهار. 🚗",المنتج
"المعلومات اللي يعطيوها على الهاتف ديما ناقصة و غالطة.",الخدمة
"الخلاط الكهربائي ضعيف و ما يرحيش بالباهي.",المنتج
"يبيعولك منتج على أساس جديد وهو مجدد مصلح.",المنتج
"السماعات اللاسلكية تشد شحن ساعة برك!",المنتج
"ما عندهمش حتى مرونة في التعامل مع الزبائن.",الخدمة
"الدهن متاع الحيط يتقشر بعد شهر من الدهينة. 🎨",المنتج
"التوصيل في المناطق الداخلية كارثة، يستناو حتى تتلمى برشا طلبات.",الخدمة
"المنتج مصنوع من لدائن رديئة و يتكسر فيسع.",المنتج
"خدمة العملاء نتاعهم آلية و ما تحلش المشاكل. 🤖",الخدمة
"الميزان الرقمي يعطي قراءات مختلفة كل مرة!",المنتج
"يطلبوا منك برشا وثائق معقدة باش ترجع منتج.",الخدمة
"الجهاز يعاود يشتغل وحدو كل شوية.",المنتج
"ما يحترموش فترة الضمان، ديما يلقاو سبه.",الخدمة
"المنتج جميل في الشكل أما الأداء صفر.",المنتج
"الإعلانات نتاعهم مضللة، الواقع مختلف.",الخدمة
"الفلتر متاع الماء ما ينقيش الماء بالباهي، الطعم ما تبدلش.",المنتج
"صعيب برشا تلقى شكون يجاوبك في الهاتف عندهم. 📞",الخدمة
"جهاز التحكم نتاع التلفاز ما يخدمش مليح، لازم تقربله برشا.","المنتج"
"الموظفين ما عندهمش فكرة على المنتجات اللي يبيعوا فيها.","الخدمة"
"دفعوني على التوصيل مرتين بالغلط!","الخدمة"
"اللعبة فيها برشا أخطاء و تقطع برشا.","المنتج"
"نصيحة، أخطاكم منهم، لا منتج لا خدمة! خسارة فلوس و وقت. 👎",المنتج
"السعر طلع مش كيما مكتوب في موقع الويب.","الخدمة"
"الكمية نتاع العجين في الخبزة ناقصة برشا.","المنتج"
"الفلاحة اللي تخدم في الأرض نتاعنا مش متعاونين جملة.","الخدمة"
"ربطة الركبة ترخالي فيسع.","المنتج"
"الشاشة الكبيرة في المقهى تصويرتها خايبة.","المنتج"
"خدمة قاعة الرياضة معبية ديما بالعباد.","الخدمة"
"الروبو هذا يتسكرلي وحدو كي نخدمو.","المنتج"
"فاتورة الماء جاتني غالية يسر هالمرة.","الخدمة"
"الألوان نتاع الصبغة مش كيما في العينة.","المنتج"
"الخدمة في المكتبة بطيئة برشا ومانيش نلقى كتبي.","الخدمة"
"الديكور متاع القاعة مش مريقل كيما طلبنا.","الخدمة"
"البيضة فاسدة كي حليتها.","المنتج"
"الكرية متاع الدار فيها مشاكل في العقد ما قالوليش عليها.","الخدمة"
"البودرة هاذي طعمها مش باهي جملة.","المنتج"
"خدمة التطبيق نتاعهم ديما فيه أخطاء.","الخدمة"
"الساعة الذكية ما تنشحنش بالباهي.","المنتج"
"الأشياء اللي شريتهم وصلوني متكسرين.","المنتج"
"الخدمة نتاع طبيب الأسنان توجع برشا وما عملتش نتيجة.","الخدمة"
"السلك نتاع الشاحن قصير يسر وميقلق.","المنتج"
"خدمة التنظيف نتاع الديار كانت تعبانة ومهيش نظيفة.","الخدمة"
"الميكروفون نتاع سماعات الأذن ما يخدمش بالباهي.","المنتج"
"الاشتراك الشهري غالي برشا مقارنة بالخدمة.","الخدمة"
"طلاء السيارة يتنحى فيسع.","المنتج"
"الخدمة في محطة البنزين تعبانة وما يعاونوش.","الخدمة"
"الكرتون متاع الحليب محلول من قبل.","المنتج"
"الألعاب نتاع الحاسوب اللوحي تعلق برشا.","المنتج"
"خدمة النقل العمومي ديما تأخير وفيها برشا عباد.","الخدمة"
"الشواية الكهربائية ما تسخنش بالباهي.","المنتج"
"خدمة المحامي كانت ناقصة وماتبعش القضية بالباهي.","الخدمة"
"المايونيز هذي طعمها مغير وفيها ريحة حامضة.","المنتج"
"الخدمة في الروضة ما يراقوش الصغار بالباهي.","الخدمة"
"القلم هذا الحبر متاعو يابس.","المنتج"
"الحلويات اللي شريتها قديمة.","المنتج"
"خدمة التغطية نتاع الشبكة في بلاصتنا خايبة برشا.","الخدمة"
"البطانية هاذي القماش نتاعها يتنسل.","المنتج"
"الخدمة في مبيت الجامعة تعبانة وبرشا مشاكل.","الخدمة"
"أوعية الماء تسيل من الغطاء.","المنتج"
"رموز التخفيض ما تخدمش كي نجي نستعملهم.","الخدمة"
"المزهرية هاذي تتكسرلي من أول مرة استعملتها.","المنتج"
"الخدمة في قاعة الافراح كانت معبية برشا وفوضى.","الخدمة"
"الخبز التوست هذا يتفتتلي فيسع.","المنتج"
"الخدمة نتاع الصرف في البنك ياخذو برشا فلوس.","الخدمة"
"الماكينة متاع الخياطة تعمل حس غريب.","المنتج"
"خدمة الانترنت الخادم السيرفير ديما طايح.", "الخدمة"
"الخمار هذا القماش متاعو سخون برشا في الصيف.","المنتج"
"الخدمة في المغازة الكبيرة مش مرتبة ويصعب تلقى حاجتك.","الخدمة"
"الكرّاسي نتاع المكتب غير مريحة للقعدة الطويلة.","المنتج"
"خدمة الشقق المفروشة كانت ناقصة نظافة.","الخدمة"
"الكراميل هاذي لاصقة في الساشي متاعها.","المنتج"
"المكالمات باش تتصل بخدمة الزبائن غاليين برشا.","الخدمة"
"السريالة هاذي طعمها غريب ومش بنينة.","المنتج"
"الخدمة في الجيم متاعهم الآلات قديمة ومكسرة.","الخدمة"
"الحبل هذا يتقطعلي فيسع.","المنتج"
"خدمة التصوير في الاستوديو كانت تعبانة والتصاور مش واضحين.","الخدمة"
"الدبوزة نتاع العطر تتسرب من البوشون.","المنتج"
"خدمة الحجامة كانت توجع برشا وما عملتش نتيجة.","الخدمة"
"القهوة في الكافيتيريا باردة ديما.","الخدمة"
"البرنامج هذا فيه برشا أخطاء وميتخدمش بالباهي.","المنتج"
"خدمة الإقامة في النزل كانت تعبانة والغرف مش نظيفة.","الخدمة"
"المقص هذا ما يقصش بالباهي.","المنتج"
"الخدمة في مركز الشرطة كانت صعيبة برشا ومعقدة.","الخدمة"
"شرائح اللحم اللي شريتهم فيهم برشا شحم.","المنتج"
"خدمة التعامل المصرفي على الانترنت ديما معطلة.","الخدمة"
"عربة التسوق نتاع الخضرة والفواكه جاتني ناقصة.","الخدمة"
"الحذاء الرياضي هذا ضيق برشا من القدام.","المنتج"
"خدمة التصليح نتاع الكرهبة غالية برشا وما صلحوهاليش بالباهي.","الخدمة"
"الستائر القماش نتاعها خفيف برشا وميش يحجب الضوء.","المنتج"
"الخدمة في الصيدلية كانت بطيئة والصيادلة ما ينصحوش بالباهي.","الخدمة"
"الدقيق هذا معجن كي نستعملو.","المنتج"
"خدمة الاشتراك في القناة التعليمية كانت مضللة.","الخدمة"
"سلك آلة المطبخ تكسرلي فيسع.","المنتج"
"الخدمة في مكتب التراخيص ما يجاوبوش على الهاتف.","الخدمة"
"الزيت هذا ريحتو قوية برشا ومش باهية.","المنتج"
"خدمة التسويق في وسائل التواصل الاجتماعي كانت تعبانة وماتعملش نتيجة.","الخدمة"
"الحلويات الكيس نتاعها محلول.","المنتج"
"الخدمة في المخبزة ما طيبوش الخبز بالباهي.","الخدمة"
"الكاميرا نتاع المراقبة ما تصورليش في الظلام.","المنتج"
"خدمة الحلاقة كانت خايبة وبرشا غلطات.","الخدمة"
"الخيط الشفاف هذا يتقطعلي فيسع كي نخدم بيه.","المنتج"
"الخدمة في المصلحة الإدارية معقدة ويطلبوا برشا أوراق.","الخدمة"
"الماء الغازي هذا فيه ريحة غريبة.","المنتج"
"خدمة شركة الاتصالات التغطية تضيعلي ديما.","الخدمة"
"الطباشير هذا ما يكتبش بالباهي.","المنتج"
"الخدمة في المكتبة العمومية تعبانة ومفيهاش كتب جديدة.","الخدمة"
"اللبسة هذي تصغار برشا بعد الغسيل.","المنتج"
"خدمة تنظيف السيارات كانت تعبانة وميش نظيفة كيما لازم.","الخدمة"
"الأقراص الصلبة نتاعهم تتفسخ فيسع.","المنتج"
"الخدمة في مركز التكوين كانت ناقصة متابعة.","الخدمة"
"السلاطة اللي شريتها فيها وريقة فاسدة.","المنتج"
"خدمة التصليح نتاع السبالة ما يدومش.","الخدمة"
"العسل هذا فيه برشا سكر وموش صافي.","المنتج"
"خدمة الحارس نتاع العمارة غير متواجد ديما.","الخدمة"
"الكرة هاذي الهواء نتاعها يخرج فيسع.","المنتج"
"خدمة عامل الصندوق في المغازة بطيئة برشا.","الخدمة"
"الماسكرا هاذي تعمل كعابر.",المنتج
"خدمة التجهيزات متاع العرس كانت ناقصة ومش الكل موجود.",الخدمة
"البيسكوي هذا يابس برشا.",المنتج
"خدمة التسجيل في الكلية كانت صعيبة برشا ومعقدة.",الخدمة
"الكرسي هذا يتحرك برشا وموش ثابت.",المنتج
"خدمة طبيب الاطفال كانت وقحة وما تعاملش بالباهي مع الصغير.",الخدمة
"الة التصوير الأمامية في الهاتف هذايا الصورة فيها مش واضحة بالكل.",المنتج
"مصلحة الزبائن نتاعهم ما تردش على المكالمات في الوقت اللي يحددوه.",الخدمة
"الحاسوب ولاّ يسخن برشا كي نشغّل عليه برامج ثقيلة.",المنتج
"التوصيل تاخر على الوقت اللي وعدوني بيه بساعتين كاملين.",الخدمة
"القش هذايا الخامة نتاعو خشينة برشا تحكّ في البدن.",المنتج
"حبيت نرجع حاجة شريتها، قالولي لازم سبب قوي بالرغم من حقّي في الإرجاع.",الخدمة
"الخلاط الكهربائي هذايا ضعف في العزم نتاعو بعد شهرين برك.",المنتج
"فنيّ الصيانة جا متأخر برشا و ما عندوش قطع الغيار اللازمة.",الخدمة
"التطبيق نتاعهم يعلق برشا و ما نجمتش نكمل عملية الشراء.",المنتج
"فاتورة الماء جاتني عالية برشا على غير العادة و ما فهمتش علاش.",الخدمة
"الصوت في سماعات الرأس هذي يتقطع برشا مرة يجي ومرة لا.",المنتج
"تغطية الشبكة نتاع الانترنت نتاعهم ضعيفة برشا في الدار.",الخدمة
"الشاحن نتاع الهاتف يعمل حس غريب كي يشحن.",المنتج
"بعثولي منتج خاطئ موش اللي طلبته في الطلبية.",الخدمة
"السلعة وصلتني في حالة سيئة، فيها بقع وخدوش.",الخدمة
"الة التبريد الفريجيدار ما تبرّدش بالباهي من اللوطة.",المنتج
"قعدت نستنى في الطلبية أكثر من اللي قالولي بجمعة كاملة.",الخدمة
"الكراسي البلاستيكية هذي تتكسر فيسع، ما تصبرش للوزن.",المنتج
"تصليح التلفاز كلفني برشا و رجع المشكل من جديد بعد ايامات.",الخدمة
"شريت دراجة نارية مستعملة فيها برشا عيوب مخفية ما قالوليش عليها.",المنتج
"خدمة ما بعد البيع نتاعهم تتهرّب من مسؤولياتها.",الخدمة
"المنتج هذايا ريحته موش كيما وصفوها في الإشهار.",المنتج
"نعمل في شكاوى على موقعهم حتى حد ما يعطيني أهمية.",الخدمة
"الحذاء هذايا يوجع في كعب الساق من أول لبسة.",المنتج
"تعبت باش نكلم خدمة الحجز نتاعهم، الخط ديما مشغول.",الخدمة
"الهاتف الذكي طفى وحدو و ما عادش حبّ يشتغل جملة.",المنتج
"الة الخبز تعمل حس قوي برشا كي تخدم العجين.",المنتج
"موقع الويب نتاعهم معقد برشا و فيه معلومات غالطة.",الخدمة
"خدمة التنظيف كانت ناقصة و خلّاو برشا غبرة في الزوايا.",الخدمة
"التفاح اللي شريتو فسد فيسع رغم اللي كان طازج.",المنتج
"نظام الحجز نتاعهم فيه أخطاء في التواريخ.",الخدمة
"مدفأة الزيت ما تسخّنش المساحة الكافية في الغرفة.",المنتج
"موظفي القبول ما كانواش متعاونين في حلّ مشكلتي.",الخدمة
"المنشفة الفوطة هاذي ما تشربش الماء بالباهي.",المنتج
"بعثولي رسائل متكرّرة برشا رغم طلبي بعدم المراسلة.",الخدمة
"البطارية نتاع جهاز الألعاب تتفرّغ في وقت قصير.",المنتج
"وعدوني بتأجيل الدفع و بعد ما خلصت طلبتهم كامل الفلوس في الوقت المحدد.",الخدمة
"إشارة الهاتف عندهم ضعيفة برشا داخل المحل.",المنتج
"صعوبة في تغيير معلومات الحساب نتاعي على موقعهم.",الخدمة
"الة التجميد الفريزر الجديدة صوتها مزعج برشا.",المنتج
"عملية التسجيل في المدرسة كانت طويلة و معقدة بالوثائق.",الخدمة
"لوحة التحكم في الجهاز ما تخدمش بالصحيح.",المنتج
"خدمة النقل اللي استعملتها كانت بطيئة برشا.",الخدمة
"العصير هذايا طعمه مرّ موش حلو.",المنتج
"ما ردوش على الرسالة الصوتية اللي خليتهالهم.",الخدمة
"الشاشة نتاع التلفاز فيها ضوء ميت في الوسط.",المنتج
"التأمين نتاعهم ما غطاش الحالة اللي صارتلي رغم اني نسأل و قالولي يغطيها.",الخدمة
"الة رشّ العطر الكرشاش ما ترشّش بالباهي.",المنتج
"الموظفة كانت تتكلم في الهاتف الخاص بها و ما انتبهتش ليا.",الخدمة
"روبوت التنظيف هذايا ما يعدّيش على السجاد.",المنتج
"خدمة الصيانة كانت فاشلة و ما صلحوليش المشكل مالأول.",الخدمة
"الخبز اللي شريتو فيه حشرات صغيرة.",المنتج
"ما فماش امكانية تكلّم الدعم الفني في نص الليل.",الخدمة
"الصابون هذايا يابس برشا و ما يرغيش.",المنتج
"نظام الدفع نتاعهم على موقع الويب يعلق ديما.",الخدمة
"الضمان نتاع المنتوج طلع ما يسوى شيء وقت اللي احتجت نصلّح.",الخدمة
"المادة هاذي البودرة ما تذوبش بالكلّ في الماء البارد.",المنتج
"البرنامج اللي نزّلته فيه برشا أخطاء و يتسكر وحدو برشا مرات.",المنتج
"خدمة كراء السيارة كانت غالطة في نوع السيارة اللي عطاوني.",الخدمة
"القلم هذايا حبره شاحف.",المنتج
"استنيت في الصفّ في المخبزة وقت طويل برشا.",الخدمة
"آلة التصوير الأمامية في الهاتف الصورة فيها ضعيفة في الضوء العادي.",المنتج
"كان من الصعب جدا نغيّر موعد في الخدمة نتاعهم.",الخدمة
"الماكلة اللي طلبتها جاتني حارة برشا أكثر من اللازم.",المنتج
"التجهيزات اللي استعملوها في البلاصة كانت قديمة و صدئة.",الخدمة
"البيجامة هاذي لونها مشى بعد الغسيل الثاني.",المنتج
"معاملة الموظفين كانت سيئة برشا و غير محترمة.",الخدمة
"الشامبو هذايا عملي حكة قوية في راسي.",المنتج
"الوعود اللي عطاوها على جودة الخدمة ما تحققتش.",الخدمة
"اللمبة هاذي تعمل حسّ غريب كي تشعل.",المنتج
"رقم الهاتف نتاع الدعم الفني ديما مسكر.",الخدمة
"التطبيق يطلب مني نعاود ندخل المعلومات كل مرة نفتحو.",المنتج
"فاتورة غالطة فيها سلعة ما شريتهاش و ما حبوش ينحيوها.",الخدمة
"الكنبة هاذي القماش نتاعها يتنسّل.",المنتج
"خدمة التنظيف كلّفت برشا و ما كانتش النتيجة كما توقعت.",الخدمة
"العطور هاذي ريحتها ما تدومش بالكلّ.",المنتج
"قالولي باش يتصلو بيا لتأكيد الطلبية و ما كلمني حتى حد.",الخدمة
"الصوت نتاع الميكروفون ضعيف برشا في المكالمات.",المنتج
"إجراءات تفعيل الخطّ معقدة و تاخذ وقت طويل.",الخدمة
"الدواء هذايا عملي آثار جانبية ما كانتش مذكورة.",المنتج
"العامل اللي جا يصلّح ما يعرفش يصلّح نوع الجهاز هذا.",الخدمة
"الخلاط الكهربائي يوقف كي نحطّ فيه حاجات قاسية شوية.",المنتج
"الخدمة كانت بطيئة و متأخرة برشا على الوقت المتفق عليه.",الخدمة
"المناديل هاذي رقيقة برشا و تتحلّل فيسع.",المنتج
"قوانين الإرجاع نتاعهم فيها برشا تعقيدات وشروط غير واضحة.",الخدمة
"الطباعة في الآلة هذي فيها خطوط بيضاء.",المنتج
"ما احترموش الوقت اللي عطاوني بيه باش نعدّي على الطلبية.",الخدمة
"العطر هذايا ريحته تغيرت و ولات خايبة بعد شهر.",المنتج
"خدمة تركيب الجهاز كانت فاشلة و الجهاز ما اشتغلش بالصحيح بعد التركيب.",الخدمة
"السلعة وصلت ناقصة جزء أساسي.",المنتج
"ما عطاونيش كلّ التفاصيل على العقد قبل ما نمضي.",الخدمة
"الفرن هذايا ما يطيبش الأكل بالتساوي، يحرق من جهة ويخلّي جهة نيئة.",المنتج
"صعوبة في الوصول لمسؤول في الشركة باش نحكي معاه.",الخدمة
"الدهن هذايا تقلّع من الحائط فيسع برشا.",المنتج
"ما فماش شفافية في طريقة احتساب الفاتورة النهائية.",الخدمة
"الفيشة نتاع الشاحن تخرج من مكانها في الهاتف بسهولة.",المنتج
"نظام تتبّع الطرود ما يتحدّثش بالوقت الفعلي.",الخدمة
"المنتج وصلني في صندوق متضرّر و مبلول.",المنتج
"خدمة العملاء غير متاحة في عطلة نهاية الأسبوع.",الخدمة
"اللبسة جاتني فيها خيط خارج.",المنتج
"مشيت للمحلّ في وقت عملهم و لقيتو مسكر بغير سبب.",الخدمة
"الكتاب فيه صفحات مكررة و ناقصة صفحات أخرى.",المنتج
"التدريب اللي عملتو كان ناقص في المعلومات الأساسية.",الخدمة
"خرطوشة الحبر نتاع الطابعة توفى فيسع بالرغم اني ما نطبعش برشا.",المنتج
"التعامل كان جاف برشا من عند الموظفة.",الخدمة
"الصلصة هاذي طعمها حامض برشا.",المنتج
"قعدت نستنى وقت طويل برشا في الخط الهاتفي لخدمة الزبائن.",الخدمة
"الضوء في اللمبة ضعيف برشا، ما يضيّش الغرفة بالباهي.",المنتج
"رفضوا يعطيني موعد في الوقت اللي يناسبني.",الخدمة
"القرص الضاغط فلاش ديسك هذا فسد فيسع بعد استعمال قليل.",المنتج
"ما فماش معلومات كافية على الضمان في موقع الويب نتاعهم.",الخدمة
"الكرسي هذايا يتكسر فيسع من الأرجل نتاعو.",المنتج
"عملية الدفع في موقع الويب تعطّلت برشا مرات.",الخدمة
"البطارية نتاع جهاز التحكم تتفرّغ فيسع برشا.",المنتج
"خدمة الإرجاع كانت معقدة و طلبوا مني برشا وراق غير لازمة.",الخدمة
"الة الغسيل هذي قاعدة تعمل حسّ متاع حديد كي تعصر.",المنتج
"مصلحة الزبائن نتاعهم ما يجاوبوش على الرسائل عن طريق البريد الالكتروني.",الخدمة
"الحاسوب الجديد هذايا يسخن لدرجة ما نجمش نخدم عليه برشا وقت.",المنتج
"التوصيل جا متأخر برشا على الوقت المتفق عليه و الباكو كان محلول.",الخدمة
"القميجة اللي شريتها لونها مشى من أول غسلة حتى بالماء البارد.",المنتج
"حبيت نرجع سلعة فيها ديفو واضح، قالولي ما نجموش نرجعوها بالفلوس.",الخدمة
"الة القهوة هذي قاعدة تخرج في تفل القهوة مع السائل.",المنتج
"الفنيّ نتاع التصليح جا متأخر و ما عندوش قطع الغيار اللازمة.",الخدمة
"التطبيق نتاعهم على الهاتف يعلق برشا و يخرج وحدو.",المنتج
"فاتورة الاشتراك نتاع القناة جاتني أغلى من المتفق عليه.",الخدمة
"الصوت في السماعات يتقطع برشا كي نسمع بيهم أغاني.",المنتج
"تغطية الهاتف نتاعهم ضعيفة برشا في بلاصتي، المكالمات تتقصّ.",الخدمة
"الشاحن نتاع الهاتف يسخن لدرجة قوية برشا.",المنتج
"بعثولي قياس أصغر من اللي طلبته في الطلبية.",الخدمة
"السلعة وصلتني مكسرة من النقل، رفضوا يعوضوهالي بالرغم من التأمين.",الخدمة
"المجمّد ما يبرّدش بالباهي، الحاجة لداخل قاعدة تفسد.",المنتج
"قعدت نستنى في الطلبية شهر و بعد قالولي تمّ إلغاؤها من غير سبب.",الخدمة
"الكراسي الخشبية هذي تتقلقل و ماهيش ثابتة.",المنتج
"تصليح السيارة كلفني برشا و رجعت نفس المشكلة بعد ايامات قليلة.",الخدمة
"شريت سيارة فيها برشا مشاكل في المحرك مالأول ما قالوليش عليها.",المنتج
"خدمة ما بعد البيع ما يهتموش بالزبون بالكلّ.",الخدمة
"المنتج هذايا ريحته موش كيما قالوا في الإشهار.",المنتج
"نعمل في شكاوى على موقع الويب و ما يجاوبوش جملة.",الخدمة
"الصبّاط هذايا عملي تقرحات في ساقي من أول لبسة.",المنتج
"تعبت باش نكلم مصلحة الزبائن، الخطّ ديما مشغول و نستنى برشا.",الخدمة
"التلفاز الشاشة نتاعو ولات تطلع فيها خطوط بيضاء.",المنتج
"الة التنظيف تعمل حسّ غريب كي تخدم.",المنتج
"موقع الويب نتاعهم معقد برشا و صعيب باش نلقى فيه اللي نحبّ.",الخدمة
"الخدمة نتاع التنظيف كانت ناقصة برشا و ما نظفوش تحت السرير.",الخدمة
"الخضرة اللي شريتها ذبلت فيسع في الثلاجة.",المنتج
"نظام الحجز نتاعهم فيه برشا لخبطة في الأوقات.",الخدمة
"مدفأة الغاز ما تسخّنش المساحة الكافية في الصالة.",المنتج
"موظفي المصلحة كانوا متعصّبين و ما تعاملوش مليح.",الخدمة
"المنشفة هاذي ما تمتصش الماء بالباهي.",المنتج
"بعثولي برشا رسائل دعائية كل يوم رغم طلبي بعدم المراسلة.",الخدمة
"البطارية نتاع جهاز الهاتف تتفرّغ في وقت قصير برشا.",المنتج
"وعدوني بتأجيل موعد الدفع و بعد كلموني يطلبوا الفلوس كاملة.",الخدمة
"إشارة الويفي عندهم ضعيفة برشا في غرفة النوم.",المنتج
"صعوبة في استرجاع الأموال بعد إلغاء الطلبية.",الخدمة
"الثلاجة صوتها عالي برشا و تقلق في الليل.",المنتج
"عملية التسجيل في الخدمة كانت طويلة و معقدة بالوثائق.",الخدمة
"لوحة المفاتيح هذي بعض الأزرار نتاعها عالقة.",المنتج
"خدمة النقل اللي استعملتها كانت بطيئة برشا على العادة.",الخدمة
"العصير هذايا طعمه حامض برشا.",المنتج
"ما ردوش على الرسالة اللي بعثتها على الهاتف.",الخدمة
"الشاشة نتاع التلفاز فيها بقعة ميّتة.",المنتج
